Path,Extension,Role,Bytes,Lines
math_extensions/tests_math/test_math05_num_deriv.uxm,.uxm,uxm_test_or_program,153,10
math_extensions/tests_math/test_math06_integral_trap.uxm,.uxm,uxm_test_or_program,192,11
math_extensions/tests_math/test_math07_integral_simpson.uxm,.uxm,uxm_test_or_program,197,11
run_final_probe.bat,.bat,build_script,382,6
run_release_notes.bat,.bat,build_script,344,11
run_tests.bat,.bat,build_script,490,23
runtime/README.md,.md,document,546,18
runtime/runtime_fp_services.bas,.bas,freebasic_source,21566,745
servis komutlari.md,.md,document,33799,482
tests/README.md,.md,document,1809,52
tests/UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md,.md,document,193504,8439
tests/test01_print_A.uxm,.uxm,uxm_test_or_program,47,6
tests/test02_string.uxm,.uxm,uxm_test_or_program,108,6
tests/test03_addressing.uxm,.uxm,uxm_test_or_program,72,7
tests/test04_stack_lifo.uxm,.uxm,uxm_test_or_program,54,7
tests/test05_meta_add.uxm,.uxm,uxm_test_or_program,61,7
tests/test06_dynamic_meta_mul.uxm,.uxm,uxm_test_or_program,66,8
tests/test07_macro.uxm,.uxm,uxm_test_or_program,25,4
tests/test08_newline.uxm,.uxm,uxm_test_or_program,53,7
tests/test09_div_mod.uxm,.uxm,uxm_test_or_program,117,12
tests/test10_sin_scaled.uxm,.uxm,uxm_test_or_program,49,6
tests/test11_hypotenuse.uxm,.uxm,uxm_test_or_program,56,7
tests/test12_signed_mode.uxm,.uxm,uxm_test_or_program,64,8
tests/test13_status_div_zero.uxm,.uxm,uxm_test_or_program,121,10
tests/test14_branch_current_zero.uxm,.uxm,uxm_test_or_program,45,6
tests/test15_branch_nonzero.uxm,.uxm,uxm_test_or_program,49,6
tests/test16_data_digit.uxm,.uxm,uxm_test_or_program,58,6
tests/test17_endian_word_split.uxm,.uxm,uxm_test_or_program,28,4
tests/test18_pointer_service.uxm,.uxm,uxm_test_or_program,47,5
tests/test20_fifo_char_order.uxm,.uxm,uxm_test_or_program,126,11
tests/test21_fifo_count_peek.uxm,.uxm,uxm_test_or_program,119,14
tests/test22_data_write_read_char.uxm,.uxm,uxm_test_or_program,110,9
tests/test23_data_digit_ascii_to_number.uxm,.uxm,uxm_test_or_program,114,7
tests/test24_data_block_copy_print.uxm,.uxm,uxm_test_or_program,232,23
